TC_ID,Service,Description,Test_Type,Status,Expected,Actual,Response_Time_ms,Status_Code,API_Name,Bank
"TC_AUTH_IB","cas","AuthenticationIB","positive","PASSED","","{""token"": ""eyJhbGciOiJIUzUxMiJ9.eyJzdWIiOiJkaWJ8aWIiLCJleHAiOjE3ODE3NjQ4NDAsImlhdCI6MTc4MTY3ODQ0MH0._t_b1f1ttghXW9JSTNCsY-ruC396zalSKGVJxOKBYGj2tT3c7TEKo8K7lLt_afovBPY0Xv3pNKewsKKfp6L4mg"", ""expiry"": ""1781764840""}","130","200","authenticate","bank1"
"TC001","cas","Authentication","positive","PASSED","","{""token"": ""eyJhbGciOiJIUzUxMiJ9.eyJzdWIiOiJkaWJ8dGVzdCIsImV4cCI6MTc4MTc2NDg0MCwiaWF0IjoxNzgxNjc4NDQwfQ.GK6n9Z3kHy71OVTG-dw7tIS3eoVcDdbIC2B-zkscq-ql2u8LZlAXcZSwXE4DBsWGxojgV-eujkRzcUpIz_Bp5w"", ""expiry"": ""1781764840""}","152","200","authenticate","bank1"
"TC174","cas","Dependent: GetDefaultAccount success -> Payment executed","positive","PASSED","SUCCESS","{""response"": {""response_code"": ""00"", ""response_desc"": ""SUCCESS""}, ""stan"": ""310829"", ""correlationId"": ""1817756b4cbe4afb816d71652de30c0a"", ""rrn"": ""002256991049""}","1376","200","getdefaultaccount->directposting","bank1"
"TC175","cas","Dependent: GetDefaultAccount failure -> no payment attempted","negative","PASSED","Cannot find account","{""response"": {""response_code"": ""011"", ""response_desc"": ""Cannot find account""}, ""rrn"": ""657836707942"", ""stan"": ""059220""}","316","200","getdefaultaccount","bank1"
"TC176","cas","Chained: TitleFetch success -> DirectPosting executed","positive","PASSED","00","{""response"": {""response_code"": ""101"", ""response_desc"": ""Invalid request""}, ""rrn"": ""950150249006"", ""stan"": ""883804""}","5369","200","titlefetch","bank1"
"TC177","cas","Chained: TitleFetch failure -> DirectPosting NOT called","negative","PASSED","101","{""response"": {""response_code"": ""101"", ""response_desc"": ""Invalid request""}, ""rrn"": ""462137998744"", ""stan"": ""730485""}","625","200","titlefetch","bank1"
"TC178","cas","Authentication V1 - Generate token for channel IB","positive","PASSED","","{""token"": ""eyJhbGciOiJIUzUxMiJ9.eyJzdWIiOiJkaWJ8aWIiLCJleHAiOjE3ODE3NjQ4NDAsImlhdCI6MTc4MTY3ODQ0MH0._t_b1f1ttghXW9JSTNCsY-ruC396zalSKGVJxOKBYGj2tT3c7TEKo8K7lLt_afovBPY0Xv3pNKewsKKfp6L4mg"", ""expiry"": ""1781764840""}","117","200","authenticate","bank1"
"TC179","cas","Authentication V1 - Generate token for channel test","positive","PASSED","","{""token"": ""eyJhbGciOiJIUzUxMiJ9.eyJzdWIiOiJkaWJ8dGVzdCIsImV4cCI6MTc4MTc2NDg0MCwiaWF0IjoxNzgxNjc4NDQwfQ.GK6n9Z3kHy71OVTG-dw7tIS3eoVcDdbIC2B-zkscq-ql2u8LZlAXcZSwXE4DBsWGxojgV-eujkRzcUpIz_Bp5w"", ""expiry"": ""1781764840""}","120","200","authenticate","bank1"
"TC180","cas","Authentication V1 - Wrong password (invalid credentials)","negative","PASSED","Bad credentials","{""response"": {""response_code"": ""068"", ""response_desc"": ""Bad credentials""}}","240","401","authenticate","bank1"
"TC181","cas","Authentication V1 - username field missing","negative","PASSED","Bad credentials","{""response"": {""response_code"": ""068"", ""response_desc"": ""Bad credentials""}}","246","401","authenticate","bank1"
"TC182","cas","Authentication V1 - password field missing","negative","PASSED","Bad credentials","{""response"": {""response_code"": ""068"", ""response_desc"": ""Bad credentials""}}","16","401","authenticate","bank1"
"TC183","cas","Authentication V1 - channel field missing","negative","PASSED","Invalid channel","{""response"": {""response_code"": ""068"", ""response_desc"": ""Invalid channel""}}","10","400","authenticate","bank1"
"TC184","cas","Authentication V1 - unconfigured/unknown channel","negative","PASSED","Invalid channel","{""response"": {""response_code"": ""068"", ""response_desc"": ""Invalid channel""}}","40","400","authenticate","bank1"
"TC185","cas","Authentication V1 - empty request body","negative","PASSED","Invalid channel","{""response"": {""response_code"": ""068"", ""response_desc"": ""Invalid channel""}}","15","400","authenticate","bank1"
"TC187","cas","Authentication V2 -","positive","PASSED","Invalid channel","{""response"": {""response_code"": ""068"", ""response_desc"": ""Invalid channel""}}","17","400","authenticate","bank1"
"TC188","cas","Authentication V2 - invalid client_id/client_secret","negative","PASSED","Invalid channel","{""response"": {""response_code"": ""068"", ""response_desc"": ""Invalid channel""}}","64","400","authenticate","bank1"
"TC189","cas","Authentication V2 - grant_type field missing","negative","PASSED","Invalid channel","{""response"": {""response_code"": ""068"", ""response_desc"": ""Invalid channel""}}","30","400","authenticate","bank1"
"TC190","cas","Authentication V2 - client_id field missing","negative","PASSED","Invalid channel","{""response"": {""response_code"": ""068"", ""response_desc"": ""Invalid channel""}}","32","400","authenticate","bank1"
