TC_ID,Service,Description,Test_Type,Status,Expected,Actual,Response_Time_ms,Status_Code,API_Name,Bank
"TC_AUTH_IB","cas","AuthenticationIB","positive","PASSED","","{""token"": ""eyJhbGciOiJIUzUxMiJ9.eyJzdWIiOiJkaWJ8aWIiLCJleHAiOjE3ODE4NDcyNjEsImlhdCI6MTc4MTc2MDg2MX0.PDVFNJ4gbRekizXOmH3dDHCIj97G7Hilv4_EHsKWhqXB19Zul57Y6n_U3Hz-ZW7rRPYGUMgU4Mz4T24xFG2kqg"", ""expiry"": ""1781847261""}","112","200","authenticate","bank1"
"TC001","cas","Authentication","positive","PASSED","","{""token"": ""eyJhbGciOiJIUzUxMiJ9.eyJzdWIiOiJkaWJ8dGVzdCIsImV4cCI6MTc4MTg0NzI2MSwiaWF0IjoxNzgxNzYwODYxfQ.moynlCKnL2sjLuWqhugkJMgfHRfoA9VDv6DaOU9L1z_pBbQ3vb1dslRqWHMAiL0RwvlJ7AjO0SqvvT1_cZG5Yw"", ""expiry"": ""1781847261""}","151","200","authenticate","bank1"
"TC002","cas","DirectPosting ACSP","positive","FAILED","SUCCESS","{""response"": {""response_code"": ""99"", ""response_desc"": ""Document was rejected by timeout""}, ""rrn"": ""501508263185"", ""stan"": ""328411""}","17730","200","directposting","bank1"
"TC003","cas","DirectPosting RJCT","negative","FAILED","Document was rejected by counterparty","{""response"": {""response_code"": ""002"", ""response_desc"": ""Account not Exist""}, ""rrn"": ""530741134074"", ""stan"": ""318976""}","2803","200","payment","bank1"
"TC004","cas","TitleFetch Success","positive","FAILED","SUCCESS","{""response"": {""response_code"": ""101"", ""response_desc"": ""Invalid request""}, ""rrn"": ""877563558023"", ""stan"": ""711439""}","5539","200","titlefetch","bank1"
"TC005","cas","DirectPosting Timeout","negative","FAILED","Document was rejected by timeout","{""response"": {""response_code"": ""002"", ""response_desc"": ""Account not Exist""}, ""rrn"": ""480505279850"", ""stan"": ""338374""}","1024","200","payment","bank1"
"TC006","cas","TitleFetch ibcon","positive","PASSED","SUCCESS","{""response"": {""account-information"": {""iban"": ""PK94CRSM0000003265703141"", ""acctitle"": ""Faiz Ula Amin Khan"", ""acctype"": ""Account""}, ""response_code"": ""00"", ""response_desc"": ""SUCCESS"", ""fee"": 0, ""stan"": ""550204"", ""rrn"": ""347023757727""}}","1886","200","titlefetchiban","bank1"
"TC007","cas","Titlefetchconv","positive","FAILED","SUCCESS","{""response"": {""response_code"": ""102"", ""response_desc"": ""Bad response""}, ""rrn"": ""316158520756"", ""stan"": ""207937""}","5358","200","titlefetchconv","bank1"
"TC008","cas","Payment","negative","FAILED","SUCCESS","{""response"": {""response_code"": ""503"", ""response_desc"": ""Unable to Process""}, ""rrn"": ""974471280125"", ""stan"": ""968440""}","660","200","payment","bank1"
"TC009","cas","Remittance Payment","positive","FAILED","SUCCESS","{""response"": {""response_code"": ""99"", ""response_desc"": ""Document was rejected by timeout""}, ""rrn"": ""806888909460"", ""stan"": ""537147""}","17591","200","remittancepayment","bank1"
"TC010","cas","Remittance Directposting","positive","FAILED","SUCCESS","{""response"": {""response_code"": ""99"", ""response_desc"": ""Document was rejected by timeout""}, ""rrn"": ""311938031855"", ""stan"": ""763813""}","17483","200","remittancedirectposting","bank1"
"TC011","cas","Register Customer","positive","PASSED","SUCCESS","{""response"": {""response_code"": ""00"", ""response_desc"": ""SUCCESS"", ""register-customer"": {""recordId"": ""516713"", ""uid"": {""type"": ""CNIC"", ""value"": ""2077963780014""}, ""gender"": ""MALE"", ""documentType"": ""CNIC"", ""documentNumber"": ""2077963780014"", ""surname"": ""faiz"", ""nickName"": ""Faiz Ul Amin Khan"", ""name"": ""Faiz Ul Amin Khan"", ""birthDate"": ""2002-01-15"", ""status"": ""inactive""}}, ""stan"": ""833453"", ""rrn"": ""248232355618""}","346","200","registerCustomer","bank1"
"TC012","cas","Update Customer Status","positive","PASSED","SUCCESS","{""response"": {""response_code"": ""00"", ""response_desc"": ""SUCCESS""}, ""stan"": ""611409"", ""rrn"": ""269565577458""}","303","200","updatestatus","bank1"
"TC013","cas","Get Customer Information","positive","PASSED","SUCCESS","{""response"": {""response_code"": ""00"", ""response_desc"": ""SUCCESS"", ""customer-information"": {""recordId"": ""516713"", ""gender"": ""MALE"", ""surname"": ""faiz"", ""name"": ""Faiz Ul Amin Khan"", ""birthDate"": ""2002-01-15""}}, ""stan"": ""924930"", ""rrn"": ""883840425456""}","540","200","getcustomerinformation","bank1"
"TC014","cas","Modify Customer","positive","PASSED","SUCCESS","{""response"": {""response_code"": ""00"", ""response_desc"": ""SUCCESS"", ""update-customer-info"": {""recordId"": ""516713"", ""uid"": {""type"": ""CNIC"", ""value"": ""2077963780014""}, ""gender"": ""MALE"", ""documentType"": ""CNIC"", ""documentNumber"": ""2077963780014"", ""surname"": ""faizkhan"", ""nickName"": ""FAIZ UL AMIN KHAN"", ""name"": ""FAIZ UL AMIN KHAN"", ""birthDate"": ""2002-01-15"", ""status"": ""active""}}, ""stan"": ""244443"", ""rrn"": ""651985103349""}","320","200","modify","bank1"
"TC015","cas","Register Alias","positive","PASSED","SUCCESS","{""response"": {""response_code"": ""00"", ""response_desc"": ""SUCCESS""}, ""stan"": ""016400"", ""rrn"": ""253403829486""}","595","200","alias","bank1"
"TC016","cas","Get Alias Information","positive","PASSED","SUCCESS","{""response"": {""response_code"": ""00"", ""response_desc"": ""SUCCESS"", ""get-aliasinfo"": {""recordId"": ""482701"", ""type"": ""MOBILE"", ""value"": ""03113685229"", ""startDate"": ""2026-06-08"", ""expirationDate"": ""2030-06-08"", ""status"": ""active""}, ""customer"": {""gender"": ""MALE"", ""uidType"": ""CNIC"", ""documentType"": ""CNIC"", ""documentNumber"": ""2077963780014"", ""uidValue"": ""2077963780014"", ""createdDateTime"": ""2026-06-18 10:34:46.436"", ""birthDate"": ""2002-01-15"", ""recordId"": ""516713"", ""lastStatusChangeDatetime"": ""2026-06-18 10:34:46.74"", ""surname"": ""faizkhan"", ""name"": ""FAIZ UL AMIN KHAN"", ""lastModificationDateTime"": ""2026-06-18 10:34:47.6"", ""id"": 21997, ""status"": ""ACTIVE"", ""hibernateLazyInitializer"": {""identifier"": 21997, ""internalIdentifier"": 21997, ""entityName"": ""com.paysyslabs.cas.entity.Customer"", ""implementation"": {""gender"": ""MALE"", ""uidType"": ""CNIC"", ""documentType"": ""CNIC"", ""documentNumber"": ""2077963780014"", ""uidValue"": ""2077963780014"", ""createdDateTime"": ""2026-06-18 10:34:46.436"", ""birthDate"": ""2002-01-15"", ...","292","200","getaliasinformation","bank1"
"TC017","cas","Delink Account","positive","PASSED","SUCCESS","{""response"": {""response_code"": ""00"", ""response_desc"": ""SUCCESS""}, ""stan"": ""168754"", ""rrn"": ""663343933286""}","311","200","delinkaccount","bank1"
"TC018","cas","link Account","positive","PASSED","SUCCESS","{""response"": {""response_code"": ""00"", ""response_desc"": ""SUCCESS""}, ""stan"": ""794541"", ""rrn"": ""462945621904""}","315","200","linkaccount","bank1"
"TC019","cas","Delink Account","positive","PASSED","SUCCESS","{""response"": {""response_code"": ""00"", ""response_desc"": ""SUCCESS""}, ""stan"": ""807045"", ""rrn"": ""947069591952""}","318","200","delinkaccount","bank1"
"TC020","cas","Delete Account","positive","PASSED","SUCCESS","{""response"": {""response_code"": ""00"", ""response_desc"": ""SUCCESS""}, ""stan"": ""686697"", ""rrn"": ""423549038089""}","332","200","deleteaccount","bank1"
"TC021","cas","Delete Customer","positive","PASSED","SUCCESS","{""response"": {""response_code"": ""00"", ""response_desc"": ""SUCCESS""}, ""stan"": ""460611"", ""rrn"": ""749881004428""}","468","200","deletecustomer","bank1"
"TC022","cas","One Step Registeration","positive","PASSED","SUCCESS","{""response"": {""response_code"": ""00"", ""one-step-customers"": {""recordId"": ""516714"", ""uid"": {""type"": ""CNIC"", ""value"": ""4240532636655""}, ""gender"": ""MALE"", ""documentType"": ""CNIC"", ""documentNumber"": ""4240532636655"", ""surname"": ""faizulamin"", ""nickName"": ""faizulamin"", ""name"": ""faizulamin"", ""aliases_wrapper"": [{""recordId"": ""482702"", ""type"": ""MOBILE"", ""accounts_wrapper"": [{""recordId"": ""385353"", ""isDefault"": ""true"", ""servicer"": {""memberId"": ""DUIBPKKA""}, ""currency"": ""PKR"", ""id"": {""iban"": ""PK15BPHL7197049500034815""}, ""type"": ""DFLT"", ""closingDate"": ""2031-06-18"", ""openingDate"": ""2026-06-18""}], ""value"": ""01974250225"", ""startDate"": ""2026-06-18"", ""expirationDate"": ""2031-06-18"", ""status"": ""active""}], ""birthDate"": ""2002-06-08"", ""status"": ""active""}, ""response_desc"": ""SUCCESS""}, ""stan"": ""802261"", ""rrn"": ""305640785123""}","387","200","onestep","bank1"
"TC023","cas","One Step Registeration","negative","PASSED","Duplicated UID","{""response"": {""response_code"": ""015"", ""response_desc"": ""Duplicated UID""}, ""rrn"": ""098104887391"", ""stan"": ""186035""}","363","200","onestep","bank1"
"TC024","cas","One Step Registeration","negative","PASSED","Alias already exists","{""response"": {""response_code"": ""028"", ""response_desc"": ""Alias already exists""}, ""rrn"": ""912358119589"", ""stan"": ""254504""}","418","200","onestep","bank1"
"TC025","cas","One Step Registeration","negative","PASSED","Duplicated account","{""response"": {""response_code"": ""016"", ""response_desc"": ""Duplicated account""}, ""rrn"": ""956328116108"", ""stan"": ""874325""}","390","200","onestep","bank1"
"TC026","cas","Delete Customer","positive","PASSED","SUCCESS","{""response"": {""response_code"": ""00"", ""response_desc"": ""SUCCESS""}, ""stan"": ""448722"", ""rrn"": ""345991989094""}","703","200","deletecustomer","bank1"
"TC027","cas","Payment - Amount with two decimal places","positive","FAILED","SUCCESS","{""response"": {""response_code"": ""503"", ""response_desc"": ""Unable to Process""}, ""rrn"": ""347678652620"", ""stan"": ""708790""}","738","200","payment","bank1"
"TC028","cas","Payment - sender_name at max 40 chars","positive","FAILED","SUCCESS","{""response"": {""response_code"": ""503"", ""response_desc"": ""Unable to Process""}, ""rrn"": ""395810747594"", ""stan"": ""451318""}","725","200","payment","bank1"
"TC029","cas","Payment - receiver_name at max 40 chars","positive","FAILED","SUCCESS","{""response"": {""response_code"": ""503"", ""response_desc"": ""Unable to Process""}, ""rrn"": ""778090015827"", ""stan"": ""065303""}","632","200","payment","bank1"
"TC030","cas","Payment - Non-zero fee","positive","FAILED","SUCCESS","{""response"": {""response_code"": ""503"", ""response_desc"": ""Unable to Process""}, ""rrn"": ""973245187806"", ""stan"": ""644844""}","748","200","payment","bank1"
"TC031","cas","Payment - Alternate valid payment_purpose 001 (Fund transfer)","positive","FAILED","SUCCESS","{""response"": {""response_code"": ""503"", ""response_desc"": ""Unable to Process""}, ""rrn"": ""459525757784"", ""stan"": ""483777""}","736","200","payment","bank1"
"TC032","cas","Payment - Alternate valid sender_idtype NICOP","positive","FAILED","SUCCESS","{""response"": {""response_code"": ""503"", ""response_desc"": ""Unable to Process""}, ""rrn"": ""502479407810"", ""stan"": ""410232""}","637","200","payment","bank1"
"TC033","cas","Payment - rrn non-numeric","negative","PASSED","Rrn: Only numeric value allowed","{""response"": {""response_code"": ""068"", ""response_desc"": ""Rrn: Only numeric value allowed""}, ""rrn"": ""ABCD12345678"", ""stan"": ""483339""}","165","200","payment","bank1"
"TC034","cas","Payment - rrn too short (11 digits)","negative","PASSED","Rrn must be 12 digits","{""response"": {""response_code"": ""068"", ""response_desc"": ""Rrn must be 12 digits""}, ""rrn"": ""00000012345"", ""stan"": ""900107""}","184","200","payment","bank1"
"TC035","cas","Payment - rrn too long (13 digits)","negative","PASSED","Too large input rrn","{""response"": {""response_code"": ""068"", ""response_desc"": ""Too large input rrn""}, ""rrn"": ""0000001234567"", ""stan"": ""153584""}","27","200","payment","bank1"
"TC036","cas","Payment - rrn empty","negative","PASSED","Rrn: Only numeric value allowed,Rrn must be 12 digits,Please provide rrn","{""response"": {""response_code"": ""068"", ""response_desc"": ""Rrn: Only numeric value allowed,Rrn must be 12 digits,Please provide rrn""}, ""rrn"": """", ""stan"": ""275969""}","458","200","payment","bank1"
"TC037","cas","Payment - rrn missing","negative","PASSED","Bad Request","{""timestamp"": ""2026-06-18T05:34:57.744+00:00"", ""status"": 400, ""error"": ""Bad Request"", ""path"": ""/api/v1/paysyslabs/payment""}","31","400","payment","bank1"
"TC038","cas","Payment - stan empty","negative","PASSED","Stan: Only numeric value allowed,Please provide stan,Stan must be 6 digits","{""response"": {""response_code"": ""068"", ""response_desc"": ""Stan must be 6 digits,Please provide stan,Stan: Only numeric value allowed""}, ""rrn"": ""639840131911"", ""stan"": """"}","180","200","payment","bank1"
"TC039","cas","Payment - stan missing","negative","PASSED","Bad Request","{""timestamp"": ""2026-06-18T05:34:57.989+00:00"", ""status"": 400, ""error"": ""Bad Request"", ""path"": ""/api/v1/paysyslabs/payment""}","52","400","payment","bank1"
"TC040","cas","Payment - stan non-numeric","negative","PASSED","Stan: Only numeric value allowed","{""response"": {""response_code"": ""068"", ""response_desc"": ""Stan: Only numeric value allowed""}, ""rrn"": ""462150304888"", ""stan"": ""ABC123""}","185","200","payment","bank1"
"TC041","cas","Payment - sender_iban missing","negative","PASSED","sender_iban must not be null","{""response"": {""response_code"": ""068"", ""response_desc"": ""sender_iban must not be null""}, ""rrn"": ""177765552376"", ""stan"": ""121957""}","157","200","payment","bank1"
"TC042","cas","Payment - sender_iban empty","negative","PASSED","iban must be 24 digits,iban must be alpha-numeric","{""response"": {""response_code"": ""068"", ""response_desc"": ""iban must be alpha-numeric,iban must be 24 digits""}, ""rrn"": ""948339693500"", ""stan"": ""329991""}","155","200","payment","bank1"
"TC043","cas","Payment - sender_iban invalid format (too short)","negative","PASSED","iban must be 24 digits","{""response"": {""response_code"": ""068"", ""response_desc"": ""iban must be 24 digits""}, ""rrn"": ""291486680822"", ""stan"": ""778504""}","188","200","payment","bank1"
